Card_Number,Card_Family,Credit_Limit,Cust_ID
8638-5407-3631-8196,Premium,530000,CC67088
7106-4239-7093-1515,Gold,18000,CC12076
6492-5655-8241-3530,Premium,596000,CC97173
2868-5606-5152-5706,Gold,27000,CC55858
1438-6906-2509-8219,Platinum,142000,CC90518
2764-7023-8396-5255,Gold,50000,CC49168
4864-7119-5608-7611,Premium,781000,CC66746
5160-8427-6529-3274,Premium,490000,CC28930
6691-5105-1556-4131,Premium,640000,CC76766
1481-2536-2178-7547,Premium,653000,CC18007
1355-1728-8274-9593,Premium,660000,CC23267
9621-6787-7890-7470,Platinum,53000,CC52613
6385-4594-8055-9081,Premium,737000,CC96267
2595-8621-2855-9119,Premium,564000,CC22050
7214-4915-6387-5429,Platinum,172000,CC72302
7908-3850-6633-2606,Gold,43000,CC71044
6574-5513-6101-1905,Gold,13000,CC95639
4203-2936-4855-8802,Gold,35000,CC19302
6239-8641-8524-9441,Gold,26000,CC18438
1259-5241-3561-1773,Gold,31000,CC96267
1113-9175-3253-8426,Gold,4000,CC51598
6244-6800-1680-7174,Premium,751000,CC43306
6228-9033-3508-8121,Gold,33000,CC36771
1466-1600-9312-7604,Premium,249000,CC60926
6557-2662-6932-6028,Platinum,96000,CC21717
9310-6095-5617-9905,Gold,6000,CC31781
7586-6475-9618-3909,Gold,37000,CC51908
1410-9622-6092-3445,Premium,508000,CC30635
5088-4839-2639-6414,Premium,405000,CC72942
9074-3311-4009-9836,Gold,13000,CC27334
7179-9253-8424-9313,Premium,899000,CC32209
1846-7945-5251-4091,Premium,752000,CC99214
6722-7299-6082-7974,Gold,34000,CC87034
1235-8656-9164-2644,Premium,307000,CC16796
8794-7936-2566-9238,Gold,4000,CC36590
2640-5294-8252-8817,Platinum,197000,CC70762
1652-7516-1273-1992,Platinum,180000,CC62994
4803-9564-9708-3189,Platinum,109000,CC73157
3513-5475-4629-7570,Gold,40000,CC20216
7843-4724-2851-6218,Gold,4000,CC11887
2570-5181-2062-7588,Platinum,180000,CC45544
1749-4777-2532-7766,Platinum,135000,CC64380
3544-7836-9589-7635,Premium,332000,CC97882
8272-7202-4112-6502,Premium,395000,CC77470
5618-9718-9367-2102,Gold,14000,CC59340
8725-3610-8060-2617,Premium,123000,CC34943
9446-5484-2517-1811,Gold,42000,CC53465
7908-2695-7391-7499,Gold,34000,CC53797
1782-5331-5899-1813,Premium,749000,CC48867
8138-6235-7062-6142,Premium,792000,CC25727
3991-7326-9292-2844,Premium,128000,CC58936
