Transaction_ID,Transaction_Date,Credit_Card_ID,Transaction_Value,Transaction_Segment
CTID28830551,24-Apr-16,1629-9566-3285-2123,23649,SEG25
CTID45504917,11-Feb-16,3697-6001-4909-5350,26726,SEG16
CTID47312290,1-Nov-16,5864-4475-3659-1440,22012,SEG14
CTID25637718,28-Jan-16,5991-4421-8476-3804,37637,SEG17
CTID66743960,17-Mar-16,1893-8853-9900-8478,5113,SEG14
CTID22308010,15-May-16,5206-5979-9383-4538,9551,SEG13
CTID41917614,11-Jul-16,5129-6974-6371-2964,29511,SEG13
CTID24523483,26-Jul-16,9930-4634-8565-6716,27830,SEG21
CTID59109135,16-Jan-16,4092-8604-7363-3393,35328,SEG18
CTID62465865,6-Nov-16,3594-2190-6052-1265,9567,SEG21
CTID17879551,25-Oct-16,5349-1963-8417-8327,40606,SEG17
CTID24250639,30-Apr-16,5689-2440-9593-1931,35617,SEG17
CTID14284190,31-Jul-16,1616-5911-1676-5466,5014,SEG18
CTID65086055,20-Nov-16,8177-5533-1183-4063,47634,SEG12
CTID83907454,3-Nov-16,2056-7091-8023-1914,12061,SEG22
CTID50406334,27-Dec-16,4971-8219-1133-6753,8073,SEG18
CTID99443343,1-Dec-16,8691-3939-1859-5937,10138,SEG25
CTID18591064,5-Jun-16,8706-3809-5167-3899,46113,SEG19
CTID64008410,2-Jul-16,2495-1344-4998-6045,39195,SEG23
CTID99000301,31-Oct-16,7047-9622-9693-9968,18604,SEG11
CTID62951258,31-May-16,5583-9751-6086-5673,24874,SEG24
CTID36318745,7-Jul-16,1683-2865-3396-4925,33895,SEG16
CTID27479043,16-Apr-16,7334-1842-5941-2149,49582,SEG23
CTID85408878,4-Mar-16,8462-5562-6993-2745,32989,SEG25
CTID96274982,6-Jun-16,8850-8297-4094-3048,14443,SEG17
CTID77584673,29-Aug-16,8522-7783-9262-6673,32877,SEG25
CTID57240151,26-Apr-16,3810-4783-2207-7703,13737,SEG11
CTID26081247,28-Dec-16,9779-2601-5260-2896,35442,SEG20
CTID40734247,16-Mar-16,6620-4005-4574-6263,41496,SEG20
CTID59592896,21-Feb-16,5618-9718-9367-2102,26716,SEG16
CTID69906257,27-Feb-16,6697-9358-9213-4896,47236,SEG19
CTID68686851,25-Aug-16,5580-3409-5276-9882,11647,SEG12
CTID67647108,18-Aug-16,3158-1638-7701-9309,28833,SEG25
CTID68039321,20-Nov-16,2893-7786-7528-2338,19915,SEG24
CTID48539550,26-May-16,4806-6889-9908-7496,11720,SEG15
CTID11264842,4-Feb-16,5734-5619-8469-4044,891,SEG12
CTID12917735,25-Nov-16,3762-3694-9841-5446,39966,SEG14
CTID15652294,26-Jun-16,5960-5753-3689-8262,28174,SEG23
CTID40680938,5-Mar-16,6620-4005-4574-6263,44365,SEG21
CTID92582137,8-Apr-16,1661-3809-5334-2155,15585,SEG22
CTID39949884,18-Mar-16,8217-2336-2393-6960,27937,SEG13
CTID42197708,15-Dec-16,1519-5130-5810-8539,12880,SEG24
CTID66316500,27-Sep-16,5160-8427-6529-3274,47831,SEG12
CTID59601937,17-Sep-16,1893-8853-9900-8478,44809,SEG16
CTID33559101,15-Jan-16,7416-4529-6690-5703,43234,SEG23
CTID26089338,25-Apr-16,2854-6117-5924-2770,24782,SEG18
CTID60670788,12-Apr-16,2056-7091-8023-1914,18902,SEG22
CTID71631263,10-Feb-16,9546-5205-4705-9447,23271,SEG14
CTID30659049,17-Jul-16,3652-5528-4808-8216,7110,SEG21
CTID27268602,2-Jan-16,9721-7299-5635-3504,31183,SEG25
CTID85611164,29-Feb-16,8078-7413-3861-2246,8926,SEG14
CTID35299934,26-Oct-16,3708-8801-1521-8042,36465,SEG11
CTID89828724,12-Mar-16,1187-8674-2708-3972,44019,SEG12
CTID59693644,23-Jul-16,3620-5235-2101-3391,37689,SEG15
CTID53240632,28-Dec-16,3810-4783-2207-7703,29856,SEG13
CTID48745881,5-Dec-16,9779-2601-5260-2896,9237,SEG21
CTID81603273,3-Apr-16,9162-3465-6654-4891,36616,SEG22
CTID16296029,24-Apr-16,3970-3872-2591-7629,43502,SEG20
CTID41952336,8-Oct-16,9314-8332-5195-8287,43336,SEG20
CTID98602025,15-Jun-16,1559-8764-1659-4317,7762,SEG20
CTID78073273,29-Aug-16,9369-6196-2597-1730,35035,SEG16
CTID21675850,21-Sep-16,1336-9200-1264-2551,4471,SEG18
CTID21680526,4-Feb-16,4933-8895-6001-8577,40038,SEG11
CTID75668104,23-Aug-16,4818-7275-3513-3939,4842,SEG19
CTID82515633,10-Mar-16,9946-6939-3033-9593,1028,SEG15
CTID18094390,26-Jan-16,3620-5235-2101-3391,46722,SEG13
CTID70371572,15-Nov-16,6197-7150-9163-8287,37334,SEG23
CTID75962780,16-Feb-16,2949-1972-1300-6680,22750,SEG15
CTID47470245,17-Nov-16,5380-2273-3524-9795,11786,SEG22
CTID43291858,5-Apr-16,4139-7870-9436-2923,31455,SEG15
